"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030193","regulation of blood coagulation","9/417","70/18860",0.128571428571429,5.81500513874615,6.06867611077335,2.28587004954632e-05,0.00162762413713067,0.00142410149675439,"PLAU/TSPAN8/CEACAM1/FAP/KLKB1/F11/CD36/ANGPT2/PLAT",9
"GO:0051917","regulation of fibrinolysis","5/417","17/18860",0.294117647058824,13.302299337001,7.63039993204692,2.56323945095586e-05,0.00179193739798642,0.00156786857134066,"PLAU/FAP/KLKB1/F11/PLAT",5
"GO:0048732","gland development","25/417","454/18860",0.0550660792951542,2.49051859833719,4.83389476656347,2.95334615477738e-05,0.0019864027233367,0.0017380174125752,"NR5A2/PROX1/OAS2/ONECUT1/ATP2C2/SERPINB5/CEACAM1/HK2/UGT1A10/UGT1A8/UGT1A7/UGT1A9/XDH/IGFBP5/TGM2/SULF2/AREG/EGF/EDNRA/LEF1/ITGA2/MET/SEMA3C/SULF1/FGL1",25
"GO:0098739","import across plasma membrane","16/417","218/18860",0.073394495412844,3.31947286207731,5.1794407008726,2.95523688307384e-05,0.0019864027233367,0.0017380174125752,"SLC2A1/ACSL5/SLC1A2/SLC43A1/SLC39A5/SCNN1A/AQP8/KCNJ16/KCNN4/SLC9A2/SLC6A6/CD36/SLC7A2/SLC30A8/LCN2/SLC6A14",16
"GO:0050819","negative regulation of coagulation","8/417","56/18860",0.142857142857143,6.46111682082905,6.15406294029179,2.99639422505925e-05,0.0019864027233367,0.0017380174125752,"PLAU/TSPAN8/CEACAM1/FAP/KLKB1/F11/ANGPT2/PLAT",8
"GO:0048771","tissue remodeling","15/417","197/18860",0.0761421319796954,3.44374246795457,5.18453004766185,3.4146773883915e-05,0.00216117496224544,0.00189093564556469,"CTSK/NOX4/IAPP/MMP14/GREM1/CEACAM1/IGFBP5/CLDN18/EDNRA/NPR3/SEMA3C/PDK4/CTHRC1/MIR27B/BGN",15
"GO:0031638","zymogen activation","8/417","57/18860",0.140350877192982,6.34776389414784,6.08005704770194,3.41908836810571e-05,0.00216117496224544,0.00189093564556469,"PLAU/CUZD1/MMP14/KLK1/KLKB1/F11/PLAT/PRSS3",8
"GO:0001952","regulation of cell-matrix adhesion","12/417","131/18860",0.0916030534351145,4.14300620572245,5.42794159692852,3.45595388056192e-05,0.00216117496224544,0.00189093564556469,"PLAU/MMP12/POSTN/MMP14/GREM1/ONECUT1/CEACAM6/FERMT1/LEF1/EFNA5/PKHD1/CD36",12
"GO:1901142","insulin metabolic process","5/417","18/18860",0.277777777777778,12.5632827071676,7.38015479701925,3.48485949698875e-05,0.00216117496224544,0.00189093564556469,"CELA2A/ERO1B/CEACAM1/PCSK1/SLC30A8",5
"GO:0062014","negative regulation of small molecule metabolic process","12/417","133/18860",0.0902255639097744,4.08070536052361,5.36109439529468,4.01625765635958e-05,0.00245119217280993,0.00214468829903512,"PROX1/CEACAM1/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ACADL/MIR27B",12
"GO:0097237","cellular response to toxic substance","12/417","134/18860",0.0895522388059701,4.05025233544508,5.3281596901832,4.32479414381218e-05,0.00259593160999704,0.00227132911520102,"GPX2/AQP8/NQO1/PXDN/CP/ALB/EDNRA/GPX8/SLC22A3/GSTA1/CD36/ALDH1A1",12
"GO:0033627","cell adhesion mediated by integrin","9/417","76/18860",0.118421052631579,5.35592578568724,5.72143281872163,4.45595542938373e-05,0.00259593160999704,0.00227132911520102,"MUC1/PLAU/FBN1/ITGA11/ITGB4/ITGB6/FERMT1/ITGA2/ADAM9",9
"GO:0050818","regulation of coagulation","9/417","76/18860",0.118421052631579,5.35592578568724,5.72143281872163,4.45595542938373e-05,0.00259593160999704,0.00227132911520102,"PLAU/TSPAN8/CEACAM1/FAP/KLKB1/F11/CD36/ANGPT2/PLAT",9
