"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF1","PRAME family member 1"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF18","PRAME family member 18"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF17","PRAME family member 17"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF2","PRAME family member 2"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF36P","PRAME family member 36, pseudogene"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF34P","PRAME family member 34, pseudogene"
"7898057",0.718622666666668,5.561594,4.69362662641046,9.44019481506055e-06,0.000118800777731466,3.14835876354808,"PDPN","podoplanin"
"7898102",-0.166262222222223,3.66692822222223,-3.24354252789502,0.00165159849076321,0.00749096572346318,-1.69368555498971,"KAZN","kazrin, periplakin interacting protein"
"7898112",-0.457856,4.53002866666667,-4.72557621275799,8.32321159261995e-06,0.000107363974534795,3.26810764906876,NA,NA
"7898124",0.264695777777778,3.70271122222222,4.24730710866704,5.21532747329605e-05,0.000470210146241673,1.5289544413785,"FHAD1","forkhead associated phosphopeptide binding domain 1"
"7898167",-2.79822288888889,7.10312055555556,-4.94454135248208,3.46948209028634e-06,5.30249782114603e-05,4.10159270615587,"CTRC","chymotrypsin C"
"7898176",-2.28272177777778,6.45349,-4.58731041431983,1.43061820091869e-05,0.000166065608533662,2.75343267049549,"CELA2A","chymotrypsin like elastase 2A"
"7898184",-2.27700155555556,6.65386188888889,-4.67384509405251,1.02033423092792e-05,0.000126042057820531,3.07446157720511,"CELA2B","chymotrypsin like elastase 2B"
"7898211",0.182623555555556,6.49247244444445,3.447991905571,0.000857317220389675,0.0044666830599945,-1.08959071125917,"RSC1A1","regulator of solute carriers 1"
"7898211",0.182623555555556,6.49247244444445,3.447991905571,0.000857317220389675,0.0044666830599945,-1.08959071125917,"DDI2","DDI proteasomal shuttling factor 2"
"7898249",-0.267774666666667,4.33132866666667,-4.5219602232707,1.84235919832368e-05,0.000201466165516691,2.51344947974997,"SLC25A34","solute carrier family 25 member 34"
"7898263",0.178401111111111,4.58784744444444,3.34944853582169,0.0011798192144036,0.00573477291893241,-1.38433943622908,"FBLIM1","filamin binding LIM protein 1"
"7898296",-0.187330888888889,2.85986922222222,-3.57293941266739,0.000567013846716129,0.00323564394956472,-0.70652270137194,"SRARP","steroid receptor associated and regulated protein"
"7898337",0.466220222222222,6.43178944444445,5.87093949596242,6.97738582711507e-08,2.35315597480123e-06,7.8447412831696,"NECAP2","NECAP endocytosis associated 2"
"7898350",-0.176660888888888,2.95484133333333,-3.24780891508276,0.0016295927784585,0.00741320251281061,-1.68137452706134,NA,NA
"7898355",-0.249405111111112,2.25574633333333,-4.1228097363684,8.25470011483945e-05,0.000681079723776934,1.09610801084088,NA,NA
"7898357",-0.454185333333333,4.34494977777778,-4.8074201619088,6.01586567878765e-06,8.27009648956766e-05,3.5770634196495,"MST1P2","macrophage stimulating 1 pseudogene 2"
"7898357",-0.454185333333333,4.34494977777778,-4.8074201619088,6.01586567878765e-06,8.27009648956766e-05,3.5770634196495,"MST1","macrophage stimulating 1"
"7898357",-0.454185333333333,4.34494977777778,-4.8074201619088,6.01586567878765e-06,8.27009648956766e-05,3.5770634196495,"MST1L","macrophage stimulating 1 like (pseudogene)"
"7898405",-0.102745111111111,2.02279233333333,-2.88358705590172,0.00490690089447975,0.0175258068891408,-2.68523927782006,NA,NA
"7898413",1.37422733333333,4.15990633333333,7.12574752708294,2.37255838019169e-10,2.51813926021154e-08,13.3274521361086,"PADI1","peptidyl arginine deiminase 1"
"7898483",-0.208768666666666,4.80186233333333,-3.69969900365186,0.000369229748940522,0.00227808313320338,-0.307508216290856,"ARHGEF10L","Rho guanine nucleotide exchange factor 10 like"
